"name","type","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se"
"M_IV_SD","numeric",0.449152542372881,104,1.26920512820513,0.61,0.61,NA,1.26920512820513,NA,0.14,9.96,9.82,3.14789309136106,12.738191280471,9.00078447946409,18.2569829404601
"M_DV","numeric",0.449152542372881,63,6.01215384615385,3.6,3.6,NA,6.01215384615385,NA,0.42,102.6,102.18,5.84218738721924,23.6408601800949,32.7443262523,66.4178335953998
"M_DV_SD","numeric",0.463276836158192,44,0.763236842105263,0.69,0.69,NA,0.763236842105263,NA,0.07,7.26,7.19,4.95368886561907,19.7888007759762,29.6253604854457,59.3257647893688
"R","numeric",0.269774011299435,180,0.116056092843327,0.13,0.13,NA,0.116056092843327,NA,-0.34,0.56,0.9,-0.0947760284020379,-0.441156749973135,-0.558558419472793,-1.30244715135028
"R_m_f","numeric",0.437853107344633,84,0.417185929648241,0.355,0.355,NA,0.417185929648241,NA,-0.16,0.83,0.99,0.0623888141792884,0.255017831183821,-0.805755600522856,-1.65084585512226
"B","numeric",0.929378531073446,33,0.0676,0.025,0.025,NA,0.0676,NA,-0.28,0.77,1.05,1.33986597449498,1.99028989016299,2.69361549295607,2.03473441088673
"ID_Copy","numeric",0.135593220338983,80,31.6372549019608,36,36,NA,31.6372549019608,NA,1,79,78,0.271083091146444,1.37224989061827,-0.593027714412228,-1.5034055734672
"Eligible_copy","factor",0.146892655367232,3,NA,NA,416,"yes",NA,0.477193982720056,NA,NA,NA,NA,NA,NA,NA
"Lableparenting_copy","character",0,61,NA,NA,145,"                                                                                                    ",NA,0.91021098662581,NA,NA,NA,NA,NA,NA,NA
"P_W","factor",0.285310734463277,2,NA,NA,304,"Nee",NA,0.47968254464216,NA,NA,NA,NA,NA,NA,NA
"P_S","factor",0.285310734463277,2,NA,NA,420,"Nee",NA,0.282147822962396,NA,NA,NA,NA,NA,NA,NA
"P_P","factor",0.285310734463277,2,NA,NA,472,"Nee",NA,0.125357371619616,NA,NA,NA,NA,NA,NA,NA
"P_C","factor",0.285310734463277,2,NA,NA,414,"Nee",NA,0.297520661157025,NA,NA,NA,NA,NA,NA,NA
"P_I","factor",0.285310734463277,2,NA,NA,492,"Nee",NA,0.053804933681201,NA,NA,NA,NA,NA,NA,NA
"P_H","factor",0.285310734463277,2,NA,NA,450,"Nee",NA,0.196847318345858,NA,NA,NA,NA,NA,NA,NA
"P_po","factor",0.285310734463277,2,NA,NA,500,"Nee",NA,0.0234342045649831,NA,NA,NA,NA,NA,NA,NA
"P_ne","factor",0.285310734463277,2,NA,NA,490,"Nee",NA,0.0612413879298224,NA,NA,NA,NA,NA,NA,NA
"filter_.","factor",0.112994350282486,2,NA,NA,376,"Selected",NA,0.480506308572356,NA,NA,NA,NA,NA,NA,NA
